5/11 12:24:47.240  ---- Startup ----
5/11 12:25:03.158  ---- ClientAvailableHotfixes ----
5/11 12:25:03.158  ---- UserClientHotfixRequest ----
5/11 12:25:03.274  ---- ApplyingHotfixes from Cache ----
5/11 12:25:03.274  ---- ApplyingHotfixes from Server ----
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16912 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16916 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16918 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16919 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16920 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16921 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16922 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16923 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16924 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16925 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16926 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16927 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16928 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16929 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16931 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16932 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16935 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16936 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16938 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16939 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16940 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16952 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16965 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16966 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16973 valid
