9/17 01:16:54.800  ---- Startup ----
9/17 01:17:06.469  ---- ClientAvailableHotfixes ----
9/17 01:17:06.469  ---- UserClientHotfixRequest ----
9/17 01:17:06.469  ---- ApplyingHotfixes from Cache ----
9/17 01:17:06.469  	70156 Table Achievement RecID 15029 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 15030 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 15031 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 15061 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70156 Table Achievement RecID 15101 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70159 Table Creature RecID 12788 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70159 Table TransmogHoliday RecID 24544 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70159 Table ItemSparse RecID 24544 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70159 Table Item RecID 24544 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70159 Table TransmogHoliday RecID 24545 VALIDATION_RESULT_INVALID
9/17 01:17:06.469  	70159 Table ItemSparse RecID 24545 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70159 Table Item RecID 24545 VALIDATION_RESULT_VALID
